IdInstituicao,IdConvenio,NomFantasia
1067,1039,STM-PLAS/JMU
1025,1039,STM-PLAS/JMU
1078,1070,SUL CITOLAB
1106,1006,SULAMERICA
1078,1006,SULAMERICA
1177,1006,SULAMERICA
1176,1090,SULAMERICA	 - DIAGNOSE
1078,1071,SULAMERICA BIOMOL
1078,1055,SULAMERICA-090
1054,1055,SULAMERICA-090
1068,1038,TJDFT-PRO SAUDE
1231,1038,TJDFT-PRO SAUDE
1025,1038,TJDFT-PRO SAUDE
1231,1117,TJDFT-PRO SAUDE - MEDICINA LABORATORIAL
1232,1037,TRE SAÚDE
1025,1037,TRE SAÚDE
1074,1037,TRE SAÚDE
1070,1036,TRF-PRO SOCIAL
1025,1036,TRF-PRO SOCIAL
1075,1035,TRT SAUDE
1025,1035,TRT SAUDE
1228,1035,TRT SAUDE
1228,1131,TRT SAUDE - MEDICINA LABORATORIAL
1248,1034,TST SAUDE
1227,1034,TST SAUDE
1226,1034,TST SAUDE
1076,1034,TST SAUDE
1025,1034,TST SAUDE
1227,1132,TST SAUDE - MEDICINA LABORATORIAL
1077,1033,UNAFISCO-SINDIFISCO
1025,1033,UNAFISCO-SINDIFISCO
1320,1111,UNIMED
